TQI_ITT,JACS 2.0,LEV_1,LEV_2,LEV_3
0,Q480,F,33,086
0,Q490,F,33,086
0,Q500,F,32,077
0,Q510,F,32,077
0,Q520,F,32,077
0,Q521,F,32,077
0,Q522,F,32,077
0,Q530,F,32,077
0,Q531,F,32,077
0,Q540,F,32,077
0,Q541,F,32,077
0,Q550,F,32,077
0,Q551,F,32,077
0,Q560,F,32,077
0,Q561,F,32,077
0,Q570,F,32,077
0,Q571,F,32,077
0,Q580,F,32,077
0,Q581,F,32,077
0,Q590,F,32,077
0,Q600,F,32,078
0,Q610,F,32,078
0,Q611,F,32,078
0,Q612,F,32,078
0,Q620,F,32,078
0,Q630,F,32,078
0,Q690,F,32,078
0,Q700,F,32,078
0,Q710,F,32,078
0,Q711,F,32,078
0,Q712,F,32,078
0,Q720,F,32,078
0,Q730,F,32,078
0,Q790,F,32,078
0,Q800,F,32,078
0,Q890,F,32,078
0,Q900,F,33,086
0,Q910,F,33,086
0,Q920,F,33,086
0,Q990,F,33,086
0,R000,F,32,083
0,R100,F,32,079
0,R110,F,32,079
0,R120,F,32,079
0,R130,F,32,079
0,R190,F,32,079
0,R200,F,32,080
0,R210,F,32,080
0,R220,F,32,080
0,R230,F,32,080
0,R290,F,32,080
0,R300,F,32,081
0,R310,F,32,081
0,R320,F,32,081
0,R330,F,32,081
0,R390,F,32,081
0,R400,F,32,082
0,R410,F,32,082
0,R411,F,32,082
0,R420,F,32,082
0,R430,F,32,082
0,R490,F,32,082
0,R500,F,32,082
0,R510,F,32,082
0,R511,F,32,082
0,R520,F,32,082
0,R530,F,32,082
0,R590,F,32,082
0,R600,F,32,080
0,R610,F,32,080
0,R611,F,32,080
0,R612,F,32,080
0,R613,F,32,080
0,R614,F,32,080
0,R620,F,32,080
0,R621,F,32,080
0,R622,F,32,080
0,R623,F,32,080
0,R624,F,32,080
0,R630,F,32,080
0,R631,F,32,080
0,R632,F,32,080
0,R633,F,32,080
0,R634,F,32,080
0,R690,F,32,080
0,R700,F,32,083
0,R710,F,32,083
0,R711,F,32,083
0,R712,F,32,083
0,R713,F,32,083
0,R720,F,32,083
0,R721,F,32,083
0,R722,F,32,083
0,R723,F,32,083
0,R730,F,32,083
0,R731,F,32,083
0,R732,F,32,083
0,R733,F,32,083
0,R790,F,32,083
0,R800,F,32,083
0,R900,F,32,083
0,R910,F,32,083
0,R911,F,32,083
0,R912,F,32,083
0,R920,F,32,083
0,R930,F,32,083
0,R990,F,32,083
0,T000,F,33,089
0,T100,F,33,087
0,T110,F,33,087
0,T120,F,33,087
0,T130,F,33,087
0,T190,F,33,087
0,T200,F,33,087
0,T210,F,33,087
0,T220,F,33,087
0,T230,F,33,087
0,T290,F,33,087
0,T300,F,33,087
0,T310,F,33,087
0,T320,F,33,087
0,T330,F,33,087
0,T390,F,33,087
